event_id,event_link,event_name,event_tags,event_programe,date,start_time,all_day,end_time,event_description,event_location
162,https://community.ucla.edu/event/6cb8eb69-ea0e-4126-897a-2c67485e2186,Artist-led Walkthrough: Dario Robleto on Performance on Paper,"#Arts, #Art",Hammer Museum,2025-05-31,15:00:00,F,17:00:00,"Artist Dario Robleto discusses his featured work in Performance on Paper and the exploration of music in his interdisciplinary work. Capacity is limited. Visitors will be admitted on a first come, first served...",hammer museum
163,https://community.ucla.edu/event/7137bc7e-5331-4daf-a15e-dfd1d6e61261,The Spook who Sat by the Door / Infiltrating Hollywood,"#Arts, #MovieFilm","Library, Film & Television Archive",2025-05-31,15:00:00,F,17:00:00,[#Arts](https://community.ucla.edu/arts) [#MovieFilm](https://community.ucla.edu/arts/movie),"In-person: filmmaker Christine Acham; Nomathande Dixon, daughter of Ivan Dixon; Natiki Hope Pressley, daughter of Sam Greenlee. Admission is free. No advance reservations. Your seat will be assigned to you when you pick up your ticket at the box..."
164,https://community.ucla.edu/event/0205e895-daf9-4345-85d3-0699cedbe8d8,"LAST BREATH (LE DERNIER SOUFFLE) Film Screening, Los Angeles Greek Film Festival","#Arts, #MovieFilm",SNF Center for the Study of Hellenic Culture,2025-05-31,18:30:00,F,20:30:00,The UCLA SNF Center for the Study of Hellenic Culture and the 19 th Los Angeles Greek Film Festival present the West Coast premiere of LAST BREATH (LE DERNIER SOUFFLE) Directed by Costa Gavras followed by a conversation with Oliver Stone and Costa...,"UCLA James Bridges Theater, 1409 Melnitz Hall"
165,https://community.ucla.edu/event/dc9a6e0d-38e9-4df1-89a8-17c9f12b1372,The Twilight Zone / Nothing But a Man,"#Arts, #MovieFilm","Library, Film & Television Archive",2025-05-31,19:30:00,F,21:30:00,"Presented by the UCLA Film & Television Archive Admission is free. No advance reservations. Your seat will be assigned to you when you pick up your ticket at the box office. Seats are assigned on a first come, first served basis. The box office...",Billy Wilder Theater
166,https://community.ucla.edu/event/96c28f27-f193-461e-8eb7-1861ed2ddb65,2025 UC Moves Challenge for UCLA Staff & Faculty,"#FacultyStaff, #Health, #Wellness",Recreation and Wellbeing,2025-05-31,00:00:00,T,23:59:59,[#FacultyStaff](https://community.ucla.edu/faculty-staff) [#Health](https://community.ucla.edu/health) [#Wellness](https://community.ucla.edu/health/wellness),Spring into Motion. Represent UCLA or UCLA Health in the 2025 systemwide 4-week movement and activity challenge. Record daily physical activity starting May 5 with your favorite tracker or on your mobile or desktop device.
167,https://community.ucla.edu/event/8ed46d8d-645a-43ab-9a27-1be855f519d4,SwDxBPS End of Year Celebration,"#Undergraduate, #GraduateProfessional","Bruin Resource Center, Student with Dependents Program",2025-06-01,13:00:00,F,16:00:00,[#Undergraduate](https://community.ucla.edu/undergrad) [#GraduateProfessional](https://community.ucla.edu/grad),"Fill out this form to help us gain count of our graduates! Celebration Details: Sunday, June 1st 1p-4p Location to be shared upon RSVP confirmation Bruin Parenting Scholars and Students with Dependents Program look forward to celebrating this..."
168,https://community.ucla.edu/event/869f272c-b79c-48d6-9547-91f00de6efe8,UCLA Los Angeles Transportation Forum,"#Educational, #PreProfessional",Institute of Transportation Studies,2025-05-19,09:00:00,F,16:00:00,"At the October 2024 UCLA Arrowhead Symposium, participants discussed how to create enduring public benefits from hosting major worldwide events in Los Angeles. The UCLA Los Angeles Transportation Forum will gather attendees to continue the...",The California Endowment
169,https://community.ucla.edu/event/a0998c8a-74aa-4fba-a107-d27ad12c482f,CAE Housing Accommodation Drop-In,"#Undergraduate, #GraduateProfessional, #Educational",Center for Accessible Education,2025-05-19,11:00:00,F,12:00:00,"During this drop-in, CAE Housing Accommodations staff are happy to meet with students to answer any questions or concerns you may have about accommodated housing at UCLA.",[Zoom](https://ucla.zoom.us/j/3826085082)
170,https://community.ucla.edu/event/9b237f61-fffc-4c11-b44e-d8f3cb07c05c,Drop in with Josh,"#Undergraduate, #GraduateProfessional, #Health, #MentalHealth",Resilience In Your Student Experience (RISE) Center,2025-05-19,13:00:00,F,15:00:00,"Feel free to drop by and chat with RISE Health and Wellbeing Coordinator! Whether you want to discuss campus mental health resources, get connected to CAPS, manage academic stress, or just need someone to talk to, we're here for you.",RISE Center at Lu Valle Commons Basement Level
171,https://community.ucla.edu/event/3adf3e3f-da8c-4d41-a951-962023b388bd,Colors & Connection,"#Undergraduate, #GraduateProfessional, #Health, #Wellness",Resilience In Your Student Experience (RISE) Center,2025-05-19,16:00:00,F,17:00:00,"Come join RISE for a free, one-hour workshop from Project UnLonely that bridges creative expression with meaningful connection-building!",RISE Center at Lu Valle Commons Basement Level
172,https://community.ucla.edu/event/b2973392-8fa1-4ae4-907b-a55d0ed6bc68,10 + 10 Pop-Up Series: How to Compare and Evaluate AI Tools,"#FacultyStaff, #Educational, #Academic",Teaching and Learning Center,2025-05-19,10:00:00,F,10:20:00,[#FacultyStaff](https://community.ucla.edu/faculty-staff) [#Educational](https://community.ucla.edu/educational) [#Academic](https://community.ucla.edu/educational/academic),Title: How to Compare and Evaluate AI Tools #GenAI #pick-your-innovation #diffusion-of-innovation #enhancing-teaching-and-learning Description: Choosing the right AI tool can be a real challenge. This short presentation provides a practical...
173,https://community.ucla.edu/event/a4f60c37-a1f3-4e3d-8f17-fbd3831dc9aa,Reflect with RISE \[Sound & Meditation\],"#Undergraduate, #GraduateProfessional, #Health, #MentalHealth",Resilience In Your Student Experience (RISE) Center,2025-05-20,11:00:00,F,12:00:00,"Come to the RISE Center for a moment of stillness with our sound & meditation session. Grab a cup of tea, practice mindfulness, thoughtfulness, and share community with a mini soundbath",RISE Center at Lu Valle Commons Basement Level
174,https://community.ucla.edu/event/6fbcc006-861e-4cd2-bd8c-8d98072107c6,Life After Graduation: House Hunting and Basic Needs,"#Undergraduate, #GraduateProfessional","Bruin Resource Center, Student with Dependents Program",2025-05-20,11:00:00,F,13:00:00,[#Undergraduate](https://community.ucla.edu/undergrad) [#GraduateProfessional](https://community.ucla.edu/grad),"Join us for a collaborative workshop preparing for your transition after graduation. Financial Wellness Program and Basic Needs at Strathmore will share budget planning, apartment hunting tools, and community basic needs resources."
175,https://community.ucla.edu/event/e946158d-1683-a2fe-a9dc-5c9d2c22af8e,"Faculty Women's Club: May Luncheon with Dr. Na Shen, Professor of Endocrinology at UCLA",,Alumni,2025-05-20,11:30:00,F,13:30:00,"Join the UCLA Faculty Women's Club for our May Luncheon with Dr. Na Shen, Professor of Endocrinology at UCLA.",UCLA Faculty Club
176,https://community.ucla.edu/event/76405b5e-88fe-4101-8bc3-00803a9c42e3,Students with Dependents Support Group,"#Undergraduate, #GraduateProfessional","Bruin Resource Center, Student with Dependents Program",2025-05-20,11:30:00,F,13:00:00,"Join CAPS & SwD for a parenting and caregiving students support group where you can find a space for connecting, pausing, and being present.",[Digital Event](https://tinyurl.com/SupportMay20)
177,https://community.ucla.edu/event/fa0ec8bd-d259-5da7-5b59-4001736d1931,Bruin Professionals Beverly Hills Chapter Meeting,,Alumni,2025-05-20,12:00:00,F,14:00:00,Join BP Beverly Hills Chapter on their monthly meeting! Social Media Law in California &...,Zoom
178,https://community.ucla.edu/event/7fd07de4-5266-4374-9a3a-0f763a58865a,Empowered Teaching: Ungrading 101 Workshop,"#GraduateProfessional, #FacultyStaff, #Educational, #Academic",Teaching and Learning Center,2025-05-20,12:00:00,F,13:00:00,"Please join us for the ""Empowered Teaching: Ungrading 101” workshop, hosted by the UCLA Teaching and Learning Center (TLC) and facilitated by Caroline Kong and Sammy Solis. In this workshop, participants will explore “ungrading,” a framework that...","Charles E. Young Research Library (YRL), Room 21570"
179,https://community.ucla.edu/event/f7c252ad-4708-42fc-8d11-32e52a2eca4f,Suicide Safe Training,#FacultyStaff,Resilience In Your Student Experience (RISE) Center,2025-05-20,12:00:00,F,14:00:00,Empower yourself as a community member in understanding suicide and supporting prevention efforts outside mental health settings. Participants will get a free RISE North Face...,RISE Center at Lu Valle Commons Basement Level
180,https://community.ucla.edu/event/db3871e4-1cce-4b26-a8d0-426f8b2b8045,"Bruin Love Station - Free Safer Sex Supplies, Narcan, & Fentanyl Test Strips",#Health,Health Education and Resource Team,2025-05-20,12:00:00,F,15:00:00,"Bruin Love Station is a mobile cart that offers free safer sex supplies, Narcan, fentanyl test strips and opportunities for students to converse with trained peers and professional staff. Brought to you by the Health Education and Resource Team...",Bruin Walk
181,https://community.ucla.edu/event/ef2752c9-7472-440a-a85d-7c31ff6a3da8,Strange Bedfellows: The Alliance Theory of Political Belief Systems,"#Educational, #Research",Library,2025-05-20,13:00:00,F,14:30:00,[Zoom](https://ucla.zoom.us/webinar/register/WN_QNHEbogyQGWtTlo_qcDjFQ),Charles E. Young Research Library (YRL)
182,https://community.ucla.edu/event/a43052d0-632d-4f01-81a3-42983dc90e78,Drop in with Alea,"#Undergraduate, #GraduateProfessional, #Health, #MentalHealth",Resilience In Your Student Experience (RISE) Center,2025-05-20,13:00:00,F,15:00:00,"Feel free to drop by and chat with RISE Health and Wellbeing Coordinator! Whether you want to discuss campus mental health resources, get connected to CAPS, manage academic stress, or just need someone to talk to, we're here for you.",RISE Center at Lu Valle Commons Basement Level
183,https://community.ucla.edu/event/63f57afe-6eeb-4b08-8039-e9e8d4c53a3c,Movement and Meditation,"#Undergraduate, #GraduateProfessional, #Health, #Wellness",Resilience In Your Student Experience (RISE) Center,2025-05-20,13:15:00,F,14:00:00,"Take some time to relax, stretch, and breathe through movement and meditation.",RISE Center at Lu Valle Commons Basement Level
184,https://community.ucla.edu/event/8a1b9a7f-2e32-40a9-0959-08111b5d418a,South Bay Network - Tuesday Trivia Night,,Alumni,2025-05-20,18:00:00,F,20:00:00,Embrace your Bruin spirit and brush up on your knowledge of random facts for a fun night of trivia.,Common Space Brewery • Hawthorne CA
185,https://community.ucla.edu/event/d4657d7a-1387-b4cf-a9af-88d4455e3997,The Classroom - Spring Quarter 2025 - Week 9 - Interpersonal Relationships - Learning People,,Alumni,2025-05-20,18:00:00,F,19:00:00,"Get ready to take the next big step—graduation is just around the corner! Your UCLA Alumni Association is here to cheer you on and support you as you launch your exciting career journey.  This Spring, The Classroom is here to offer a...",Zoom
186,https://community.ucla.edu/event/407cda69-e1c6-5bed-cbb6-285ec5907524,Bruin Professionals Orange County Chapter Meeting,,Alumni,2025-05-20,11:30:00,F,13:30:00,Join BP Orange County Chapter for their Chapter Meeting!,Murtaugh Treglia Stern & Deily LLP • Irvine CA
187,https://community.ucla.edu/event/d72d337c-beb8-b02a-d168-b116996c0bfb,May Luncheon with the Westwood Women's Bruin Club and The Affiliates,,Alumni,2025-05-21,11:30:00,F,13:30:00,Join the Westwood Women's Bruin Club and The Town & Gown Affiliates Alumni Network for our May luncheon. This month's luncheon features a presentation by the LA Philharmonic Affiliates Speakers Bureau.,James West Alumni Center
188,https://community.ucla.edu/event/f502b850-c089-4aa2-aa09-3ef926c6dd1e,Assignments and Grading for TAs,#FacultyStaff,Bruin Learn Center of Excellence,2025-05-21,12:00:00,F,14:00:00,"Enhance your teaching skills and streamline your work in Bruin Learn! This session is designed primarily for TAs and will cover creating and grading assignments and discussions, navigating the Gradebook, and providing student extensions and...",[Zoom](https://ucla.zoom.us/meeting/register/k_IUuai7TfqACqfLr_HLaA#/registration)
189,https://community.ucla.edu/event/d060a8ea-1184-43aa-9605-fc1a71965024,Assignments and Grading with Bruin Learn for TAs,"#GraduateProfessional, #Educational, #Academic",Teaching and Learning Center,2025-05-21,12:00:00,F,13:00:00,[#GraduateProfessional](https://community.ucla.edu/grad) [#Educational](https://community.ucla.edu/educational) [#Academic](https://community.ucla.edu/educational/academic),"Enhance your teaching skills and streamline your grading in Bruin Learn! This session is designed primarily for TAs and will cover creating and grading assignments and discussions, navigating the Gradebook, and providing student extensions and..."
190,https://community.ucla.edu/event/f53f2e83-9440-48e4-a39d-0e5d355876f5,Grounding Session,"#Undergraduate, #GraduateProfessional, #Health, #Wellness",Resilience In Your Student Experience (RISE) Center,2025-05-21,12:00:00,F,13:00:00,Pause. Notice. Be. Explore grounding techniques and tools that can be useful for stress management.,RISE Center at Lu Valle Commons Basement Level
191,https://community.ucla.edu/event/28552f2a-c492-4216-9954-11114b1b28be,Meet the Leaders: Lucy Avetisyan,"#FacultyStaff, #Educational, #Career",Staff Assembly,2025-05-21,12:00:00,F,13:00:00,[#FacultyStaff](https://community.ucla.edu/faculty-staff) [#Educational](https://community.ucla.edu/educational) [#Career](https://community.ucla.edu/educational/career),"We invite you to join Staff Assembly on Wednesday, May 21, 2025 from 12:00 - 1:00 pm, for our virtual event, Meet the Leaders Series! We will host a Zoom discussion with Lucy Avetisyan, Associate Vice Chancellor and Chief Information Officer (CIO)..."
192,https://community.ucla.edu/event/4862c97f-70a8-4f69-ab93-514beee6063e,From ADS to SciX: An Intro to Navigating Science Explorer for Earth and Space Science Research,"#Undergraduate, #GraduateProfessional, #Educational, #Research",Library,2025-05-21,13:00:00,F,14:00:00,"For years, the Astrophysics Data System has served researchers in the fields of astronomy and physics. Recognizing the value of this portal, the Smithsonian Astrophysical Observatory and NASA have developed SciX (Science Explorer) as the future...",[Digital Event](https://www.library.ucla.edu/visit/events-exhibitions/from-ads-to-scix-an-intro-to-navigating-science-explorer-for-earth-and-space-science-research-05-21-25/)
193,https://community.ucla.edu/event/90d7c180-b980-4a12-86f6-873deef005e3,Drop in with Jaci,"#Undergraduate, #GraduateProfessional, #Health, #MentalHealth",Resilience In Your Student Experience (RISE) Center,2025-05-21,13:00:00,F,15:00:00,"Feel free to drop by and chat with RISE Health and Wellbeing Coordinator! Whether you want to discuss campus mental health resources, get connected to CAPS, manage academic stress, or just need someone to talk to, we're here for you.",RISE Center at Lu Valle Commons Basement Level
194,https://community.ucla.edu/event/ef8d6dc7-1a5f-4509-88aa-c57e7cb66672,CAE Disability Specialist Check-In with Jamie Lerner-Brecher,"#Undergraduate, #GraduateProfessional, #FacultyStaff, #Educational, #Academic",Center for Accessible Education,2025-05-21,14:00:00,F,15:00:00,"During Disability Specialist Check-Ins, a Disability Specialist will be available to answer quick questions about accommodations, registration with the CAE, accessibility of courses, and any non-confidential questions you would like addressed. To...",[Zoom](https://ucla.zoom.us/j/96675641305)
195,https://community.ucla.edu/event/ebe71a38-1b93-4b86-a8bc-c7e1ed9752b8,OPT Webinars (for F-1 Visa Students),"#Undergraduate, #GraduateProfessional, #Educational, #PreProfessional",Dashew Center for International Students and Scholars,2025-05-21,14:00:00,F,15:00:00,"UCLA F-1 visa students, do you want to know more about off-campus employment authorization? Join us on one of our weekly OPT webinars hosted by the Dashew Center staff to learn more!",[Zoom](https://ucla.zoom.us/j/98199114498)
196,https://community.ucla.edu/event/038297f7-9d52-18b1-9d82-64a20fa08be5,Beyond Westwood: Life in NYC,,Alumni,2025-05-21,16:00:00,F,18:00:00,"You did it! You’re graduating, and you’re almost at the finish line. However, you have a new adventure ahead and are moving beyond Westwood. Learn from recent UCLA alumni and network leaders on how they made the move to NYC and what to consider as...",Zoom
197,https://community.ucla.edu/event/adca7062-7c65-4f08-8d11-ea9f377c893c,Books & Bonding,"#Undergraduate, #GraduateProfessional, #Health, #MentalHealth",Resilience In Your Student Experience (RISE) Center,2025-05-21,16:00:00,F,17:00:00,"Join the RISE Center for Books and Bonding every Wednesday. RISE will be providing the books and there will be no assigned readings, so please stop by if you are interested.",RISE Center at Lu Valle Commons Basement Level
198,https://community.ucla.edu/event/a63de793-de33-4c03-82f2-dfaa0e7125fc,RISE Wellness Wednesday (MHM),"#Undergraduate, #GraduateProfessional, #Health, #Wellness",Resilience In Your Student Experience (RISE) Center,2025-05-21,16:00:00,F,17:00:00,"Take a break with Wellness Wednesday! Join us in RISE to relax, recharge, and get creative with easy, self-guided activities like essential oils, journal prompts, and art projects.",RISE Center at Lu Valle Commons Basement Level
