Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
Cricket Club,"The mission of the UCLA Cricket Club is to promote the spirit of cricket, and foster an interest in the sport within the UCLA community. We organize regular practices, matches and team-building for students and aim to compete at the inter-collegiate level in leagues and tournaments held by the National College Cricket Association (NCCA).",,,,,,,,
Cycling,"The Cycling Club is about instilling a sense of community at UCLA and getting out to explore coffee shops, mountains, and more around the LA area. There is no requirement to race and the club includes riders interested in mountain biking, road cycling, track cycling, cyclocross, and anyone who just wants to find people to ride bikes with!",,,,,,,,
Dragon Boat,"UCLA Dragon Boat is a student-run competitive Club Sports team. We are 50 paddlers strong, making up two race crews: Blue and Gold. Through hard work and dedication, our team not only helps its members develop as paddlers, but also as students, athletes, and leaders. Above all else, UCLA Dragon Boat strives to be competitive, passionate, and fun.",,,,,,,,
Equestrian,The UCLA Equestrian Team is a horseback riding program involving both practice and shows. We have a hunt seat team and compete in the Intercollegiate Horse Show Association (IHSA).,,,,,,,,
Esports,Esports division of Club sports featuring 50+ athletes in 8+ different teams across 8 titles.,,,,,,,,
Fencing,"The sport of fighting with swords, especially foils, épées, or sabers, according to a set of rules, in order to score points against an opponent.",,,,,,,,
Field Hockey,Co-Ed field hockey at UCLA.,,,,,,,,
Figure Skating,Our team welcomes both recreational and competitive figure skaters. Anyone who is interested or loves to figure skate can join! Our competitive team participates in the USFSA Intercollegiate Team Figure Skating series.,,,,,,,,
Golf,"We are a club for golfers of all levels to improve their skills. We have practices every Thursday at 7:00 pm and Saturday at 9:00 am. We organize casual and competitive playing opportunities during the Fall, Winter, and Spring quarters.",,,,,,,,
Gymnastics,Ice Hockey,,,,,,,,
Ice Hockey team playing in the WCHC League.,Judo,,,,,,,,
"Judo is best known for its throwing techniques but also includes numerous techniques for controlling an opponent while on the ground. A good judoka, one who practices Judo, will first use timing and leverage to bring his opponent off balance and execute a throw, and then immobilize with grappling maneuvers or submit with arm locks and choke holds. This class will foster general fitness and well-being, and develop real-world safety and self-defense strategies, all while improving physical fitness, flexibility, strength, coordination, and agility.",Kendo,,,,,,,,
UCLA Kendo was founded in Fall 2002 to advance collegiate Kendo. The concept of Kendo is to discipline the human character through the application of the principles of the katana.,"Lacrosse, Men's",,,,,,,,
"Lacrosse, Women's","UCLA Women's Lacrosse is a part of the Western Women's Lacrosse League (WWLL) and the Women's Collegiate Lacrosse Association (WCLA). We have attended nationals consistently over the last decade and recently won the WCLA National Championship this past year in Wichita, Kansas, for the first time in program history. We are excited for the bright future of this club.",,,,,,,,
Ninjutsu,Olympic Weightlifting,,,,,,,,
"At UCLA Club Olympic Weightlifting, we train the Snatch and the Clean & Jerk. Our members compete locally, nationally, and internationally. Experience is not required to join and we welcome all skill levels!",Pickleball,,,,,,,,
Bringing Bruins together through the sport of pickleball! Our goal is to foster a thriving community where you can meet new people and have fun pickling. We also plan to compete against other universities at the highest collegiate level. See you on the courts!,Powerlifting,,,,,,,,
"UCLA Powerlifting is dedicated to fostering a supportive and inclusive environment for lifters of all levels to come together, gain skills and knowledge, get stronger, and build a sense of community.",Quadball,,,,,,,,
"Quadball is a mixed gender, contact sport that combines the best of rugby, basketball, and dodgeball, all while holding brooms between our legs. Keepers and Chasers attempt to score on the other teams' three hoops with a volleyball, and Beaters use dodgeballs to knock people out of play. Tom Marks brought the sport to UCLA in 2009, inspired by Xander Manshel at Middlebury College. UCLA Quadball is a tight-knit community and highly competitive on a regional and national level.",Roundnet (Spikeball),,,,,,,,
We are the 6th-Ranked college roundnet club in the country.,"Rowing, Men's",,,,,,,,
"UCLA Men's Rowing is an elite group of scholar athletes that competes on the national stage. Best of all, there is NO EXPERIENCE NECESSARY! We welcome all interested students into our LEARN TO ROW program. Join us for the college experience of a lifetime!","Rugby, Men's",,,,,,,,
"We aim to provide UCLA students with the opportunity to learn more about the game of rugby, as well as to train and compete at a D1 level.","Rugby, Women's",,,,,,,,
UCLA Bruin Rangers Instagram: @uclawrugby Facebook: UCLA Women's Rugby,Running,,,,,,,,
"We are an entirely student-led club focused on bringing Bruins a common place on campus to run, explore, and have fun together. We meet Mondays-Fridays for practice, where we offer routes to run between 3-7 miles. All of our members come from a wide variety of running backgrounds; whether you are a first-time jogger looking for workout partners or a former cross-country/track athlete trying to stay competitive, we welcome you all!",Sailing,,,,,,,,
A competitive racing team in the Pacific Coast Collegiate Sailing Conference.,Ski and Snowboard,,,,,,,,
"Competitive winter sports team competing in the Ski Giant Slalom, Ski Slalom, Ski Cross, Snowboard Giant Slalom, Snowboard Cross, and Freestyle events.","Soccer, Men's",,,,,,,,
UCLA Men's Club Soccer is a student-run organization that provides students with the ability to compete competitively against other collegiate club soccer teams.,Phone Number:,,,,,,,,
8584148991,Email:,,,,,,,,
"Soccer, Women's",We are a competitive soccer team that practices 3x weekly and competes on weekends with other universities.,,,,,,,,
Softball,A competitive women's fastpitch softball team on campus!,,,,,,,,
Squash,"Squash is a racquet sport played by two or four players in a four-walled court with a small, hollow rubber ball. We hold practice twice a week for recreational and competitive players, and look forward to play against other colleges.",,,,,,,,
Swim,"Hello! We are California's first Club Swimming team! We train Mondays, Wednesdays, and Fridays from 6:00 to 7:30 p.m. at the Student Activities Center Pool in the heart of campus. Our longtime coach, Mike Santo, is very experienced but still maintains a chill, fun environment at practice. He gives us the sets to swim during practice and alters them according to each swimmer's skill levels. Our team enthusiastically accepts swimmers of all skill levels, from swimmers who decide to join just for recreation, to swimmers who want to qualify to compete at Club Swim Nationals in April. In terms of meets, we usually have around two meets per quarter, with one travel meet and one home meet at Spieker Aquatics Center (where the Division I NCAA team competes!). All of our meets and practices are optional, but team members are highly encouraged to participate in order to bond with the team, represent UCLA, and have fun in the water. We will be having free practices during Week 1 to allow new members to get a feel for the inclusive vibes and relaxed energy of our team before deciding to register. The best way to keep up with our team is by liking our Facebook page (UCLA Club Swimming) or following us on Instagram (@uclaclubswimming). Team dues are $70 per quarter, or $180 for the whole year, making swimming one of the least expensive club sports teams.",,,,,,,,
Table Tennis,"The UCLA Table Tennis Club welcomes both recreational and competitive players, uniting students with a common passion for table tennis. It is a place for students to relieve stress, learn the basics of the sport and enjoy it with other students in the UCLA community. Students can also join Varsity and Junior Varsity teams to represent UCLA in divisional, regional, and national-level tournaments. Our ultimate goal is to teach our members more about the world of table tennis as well as establishing a fun-loving community of passionate players.",,,,,,,,
Taekwondo,"Our club holds practice on Monday, Wednesday, and Friday nights. Every practice, we work on kicking techniques, forms, sparring, and conditioning. All skill levels are welcome -- no previous experience is required! This club is a great place to learn, practice, and compete in Taekwondo -- it has something for everyone. Feel free to check us out anytime!",,,,,,,,
Tennis,"Club Tennis offers a space to all students who want to play tennis, no matter the skill level! Bruin Club Tennis is composed of two parts: a general club and a competitive team. Our general club is open to any and all UCLA students, faculty, and alum and is a great way for Bruins to meet new people while having a workout. During the year, we put on a number of events, from a beach bonfire to KBBQ to Indian Wells. Practices are 9-11pm on Tuesdays and Thursdays. The second half of BCT is the competitive team – our traveling team who are the 2022 national champions! Our competitive team practices just before general club and competes in tournaments throughout the year up and down California against some of the best collegiate club teams in the country in preparation for the national championship. Competitive team practices are 7-9pm on Tuesdays and Thursdays. Tryout information will be provided at the beginning of each school year.",,,,,,,,
Track and Field,We are a fitness outlet for students of all levels to get in shape and compete in track and field events throughout the school year.,,,,,,,,
Triathlon,"UCLA Triathlon is an official club sport of the University of California, Los Angeles. In addition to a structured program for students, UCLA Triathlon also provides coaching and a team atmosphere for staff, faculty, alumni, and community members. UCLA Triathlon is committed to helping all members, from elite to beginners, reach their athletic goals.",,,,,,,,
"Ultimate, Men's","We are UCLA's D1 Ultimate Program, competing in regional and national tournaments. We have both a competitive and developmental team. We accept players of all skill levels and aim to foster a community of fun, competition, and lifelong athleticism. Come play one of the fastest-growing sports in the country!",,,,,,,,
"Ultimate, Women's","Founded in 2003, Bruin Ladies Ultimate (BLU) is the UCLA club women's ultimate team. We've attended nationals 11 times, finishing as high as 2nd. We hope to return again in 2025! Contact us at blu.ultimate@gmail.com",,,,,,,,
"Volleyball, Men's",Competitive volleyball team that will compete in regional and national tournaments.,,,,,,,,
"Volleyball, Women's",Women's Volleyball allows undergraduate and graduate students to pursue their love for volleyball with weekly team practices and competitive tournaments.,,,,,,,,
"Water Polo, Men's","Water Polo, Women's",,,,,,,,
Striving to create an inclusive environment for all to experience the joy of water polo.,Water Ski,,,,,,,,
"We are a Regionally and Nationally competitive Waterski team for the Western Conference. Our members participate in all three events, slalom, trick, and jump. We welcome all interested students with any skill level.",Wrestling,,,,,,,,
"We practice two times a week and attend local and national competitions during the school year. If you have any questions, contact us through our Instagram @uclawrestling or email us.",Wushu,,,,,,,,
"Wushu refers to Chinese Martial Arts. In modern or sport Wushu, taolu (forms) are commonly practiced. Forms practiced include various empty fist and weapon types, and are practiced for competition and performance, but also for martial application and health. UCLA Wushu is the official Wushu team of the University of California, Los Angeles. Since its founding in 1986, it has established itself as one of the most prominent Wushu teams in the United States collegiate scene. Athletes and alumni from UCLA Wushu have competed in the World Wushu Championships, World Junior Wushu Championships, Pan-American Wushu Championships, and the World Traditional Wushu Championships. UCLA Wushu trains weekly with people of all experience, annually participates in the Collegiate Wushu Tournament and performs at select events, notably the Chinese American Cultural Night at Royce Hall.",,,,,,,,,
Al-Talib Newsmagazine,"Al-Talib Newsmagazine is part of UCLA Student Media and is the first Muslim student led newsmagazine in the nation and provides an independent perspective on issues important to Muslim communities including news, campus life, lifestyle, and spirituality.","Media, Religious - Muslim",[altalib@media.ucla.edu](mailto:altalib@media.ucla.edu),,https://www.facebook.com/AlTalibNewsmagazine,https://www.instagram.com/altalibnewsmag/?hl=en,https://twitter.com/altalibnewsmag?lang=en,,
ALIF,"The mission of ALIF is to support Muslim students studying engineering, computer science, and related fields at UCLA in achieving technical excellence, professional development, and spiritual growth. Through workshops, networking opportunities, and professional development initiatives, we aim to equip Muslim students with the skills necessary to excel in their careers while maintaining their faith. We also dedicate ourselves to serving the broader Muslim community by offering technical support to masjids and nonprofits, creating impactful projects that address community challenges, and promoting collaboration among members. In this shared endeavor, we seek to build a space where faith and technology harmoniously coexist, ensuring that our efforts benefit not only the present generation but also pave the way for future Muslim leaders in tech.","Engineering, Religious - Muslim",[alifbruins@gmail.com](mailto:alifbruins@gmail.com),,,,,,
Faces of Afrikan Muslims,"Faces of Afrikan Muslims is a student organization dedicated to creating a safe and inclusive space for Black Muslims. It promotes discussions highlighting the contributions of Black people to Islam and its rich, expansive history, while also building a strong sense of community. We also want to make sure we extend the space to non-muslims and non-Black people alike to ensure that they are receiving positive engagement with our community. As Black Muslims, we are committed to providing an outlet to address the racism and marginalization that permeates all aspects of campus life. We are dedicated to fostering a safe space for the growth of our vibrant community, while empowering young Black Muslims to shape their identities and build stronger alliances with mutual allies. Expect socials, famsgiving, heartwork night, collabs and other events this quarter/year!!","Religious - Muslim, Cultural",[famatucla@gmail.com](mailto:famatucla@gmail.com),,,https://www.instagram.com/famucla/#,,,
Muslim Indian Student Organization,"The Muslim Indian Students Organization (MISO) is a space for all students at UCLA to learn about and celebrate the rich history and culture of Muslim communities in India. MISO provides a space for spiritual growth, community building, and cultural expression for the entire Bruin community.","Religious - Muslim, Cultural",[misoatucla@gmail.com](mailto:misoatucla@gmail.com),,,https://www.instagram.com/miso.ucla/,,,
Muslim Law Students Association,"MLSA's mission is to share in a common set of moral commitments rooted in the message of Islam; engage in religious, social and community activities; support educational and intellectual pursuits; and continue to promote the goals of Muslim students at UCLA School of Law, and thus serve our faith as best we can.","Law, Religious - Muslim",[mlsa@lawnet.ucla.edu](mailto:mlsa@lawnet.ucla.edu),,,,,,
The Shifa Society of Muslim Pre-Health Students at UCLA,The Shifa Society of Muslim Pre-Health Students is a 501(c)(3) nonprofit organization dedicated to the pre-health professional development of members through the abridgment of deen (Islamic religion) with dunya (worldly life) to foster a community of successful health professionals and sustainable Muslims.,"Pre-Professional, Religious - Muslim",[shifasocietyucla@gmail.com](mailto:shifasocietyucla@gmail.com),,,https://www.instagram.com/shifasocietyucla/?hl=en,,,
Bruin MMA Theory,"Bruin MMA Theory takes an analytical and theoretical approach to learning martial arts. Bruin MMA Theory has no physical contact or applications of any martial arts, but will look over film and analyze aspects of all martial arts to grow passion and understanding of the sport. Our aims include: uniting students who have a deep passion for mixed martial arts, increasing our collective understanding and appreciation of various martial arts (such as Judo, Jujitsu, Sambo, and Muay Thai) and their cultural backgrounds, advocating for the countless benefits of martial arts as a subject of analysis for self-defense, agility, coordination, and awareness, providing a platform for members to discuss and learn about striking and grappling techniques without any physical practice, providing members the opportunity to study fight choreography for martial arts and action films, and giving members the opportunity to analyze martial arts techniques after watching fights and write reports.","Self Improvement - Exercise, Martial Arts",[Ryangerry337@gmail.com](mailto:Ryangerry337@gmail.com),,,,,,
Afrikan Mxn's Collective,"The Mission of the Afrikan Mxn’s Collective (AMC) is to develop and support a community of strong Afrikan mxn by way of discovering our unique contribution to the struggle on campus and abroad. To collectively realize our full potential academically, politically, socially, economically, emotionally, and spiritually. To network within and beyond the collective to unify and uplift all Afrikan Mxn in our community. To develop and carry out our collective vision for the community through the fostering of self-knowledge and determination. To work with the Afrikan Womxn’s Collective and Blaque to build and sustain solidarity and power for all Afrikan Folx within the Afrikan Student Union.","African American, Cultural/Ethnic",[africanmxnscollective@gmail.com](mailto:africanmxnscollective@gmail.com),,,https://instagram.com/amcatucla,https://sa.ucla.edu/twitter.com/amcatucla1,,
Afrikan Student Union,"ASU exists to promote, protect, and serve the interest and educational rights of individual and collective needs of the Afrikan student body, and community within the context of the struggle for Afrikan liberation. This body is inclusive of all people.","Political, Cultural/Ethnic",[asuchairperson@gmail.com](mailto:asuchairperson@gmail.com),,,https://instagram.com/blackbruins?igshid=MDE2OWE1N2Q=,,,
Afrikan Womxn's Collective,"The purpose of the Afrikan Women’s Collective is to provide a safe space for women who identify with the Afrikan diaspora to join together and discuss topics and issues relevant to women of Afrikan descent. The Afrikan Women’s Collective also strengthens social ties, fosters individual excellence, and promotes achievement for black women in community on the campus of UCLA and beyond.","African American, Cultural/Ethnic",[awcucla@gmail.com](mailto:awcucla@gmail.com),,,https://www.instagram.com/awcatucla?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,,
American Indian Science and Engineering Society (AISES),"AISES Mission Statement: ""The American Indian Science and Engineering Society (AISES) is a national, nonprofit organization focused on substantially increasing the representation of American Indians, Alaska Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples of North America in science, technology, engineering and math (STEM) studies and careers.""","Engineering, Cultural/Ethnic",[uclaaises.president@gmail.com](mailto:uclaaises.president@gmail.com),[https://sites.google.com/g.ucla.edu/ucla-aises/home](https://sites.google.com/g.ucla.edu/ucla-aises/home),,https://www.instagram.com/ucla_aises/,,,
American Indian Student Association,"AISA stands as a welcoming association open to all UCLA students, although American Indians constitute less than 1% of the student body nationwide. We have cultivated a robust and supportive community that nurtures American Indian, Alaskan Native, and First Nation students in their educational pursuits at UCLA. Within the Native Bruin community, students unite to advance education and cultural understanding. Together, we challenge misconceptions surrounding American Indian art, language, history, and lifestyles. Our strength lies in our diverse backgrounds; every member enriches our community with unique perspectives, fostering a vibrant environment. At AISA, we've pioneered student-led outreach initiatives like American Indian Recruitment (AIR) and Retention of American Indians Now! (RAIN!), both headquartered in the Student Activities Center. These projects are tailored to empower Native individuals in their higher education journeys. We also host significant events annually, including Native American Heritage Week, the Youth Conference/Basketball Tournament, and the UCLA PowWow. Additionally, we pay homage to the Gabrieleño peoples, the original custodians of the Los Angeles Greater Basin and Southern Channel Islands, acknowledging their enduring connection to the land.","Cultural/Ethnic, Political",[aisa.ucla@gmail.com](mailto:aisa.ucla@gmail.com),,,https://www.instagram.com/nativebruins,https://twitter.com/nativebruins,,
Armenian Law Students Association,"The objectives of this organization are to provide a means for ALSA members to further their educational and career objectives: 1. To provide a forum where law students of Armenian background or those interested in Armenian culture may meet each other, cultivate ties, and network with peers and alumni. 2. To provide academic support and mentoring, and to further the career goals of the ALSA's members. 3. To coordinate with Armenian-affiliated professional organizations in providing legal services to underserved communities in the greater Los Angeles area. 4. To sponsor programming and events that positively contribute to the scholastic development of legal issues of concern to the Armenian community. This may include lectures, panel discussions, and symposiums. 5. To sponsor programming and events that is of interest to the legal community and particularly, the UCLA School of Law.","Law, Cultural/Ethnic",[alsa@lawnet.ucla.edu](mailto:alsa@lawnet.ucla.edu),,,,,,
Armenian Medical Students Association at DGSOM,"The Armenian Medical Students Association (AMSA) at DGSOM is dedicated to supporting and uniting Armenian medical students through mentorship, cultural identity, and academic success. AMSA fosters community engagement by providing culturally competent healthcare and addressing health disparities in the Armenian population. Through collaboration with Armenian physicians, mentorship opportunities, and educational events, AMSA connects students with professional networks and advocates for the health needs of the Armenian community locally and globally. We strive to cultivate leadership and advocacy skills, creating an inclusive space for all interested in Armenian culture and healthcare.","Cultural/Ethnic, Educational",[armenianmeducla@gmail.com](mailto:armenianmeducla@gmail.com),,,,,,
Armenian Students' Association at UCLA,"The Armenian Students' Association (ASA) at UCLA was founded in 1945 and strives to internally create a safe community space for its membership through a variety of cultural, social, and activist initiatives, and externally represent the unified voice of its members. As an organization, it is focused on providing a platform for Armenian-American undergraduates at UCLA to connect with their roots, network with one another, and engage with the greater campus community.","Cultural/Ethnic, Educational",[asaucla@gmail.com](mailto:asaucla@gmail.com),,https://www.facebook.com/UCLAASA/,https://www.instagram.com/ucla_asa/,https://twitter.com/armenianbruins/,,
Asian/Pacific Islander Law Students Association,"APILSA serves as a valuable resource and a significant social support network for law students to succeed academically, socially, politically, and professionally. APILSA coordinates numerous events and activities that educate and inform members about current Asian Pacific Islander issues, and prepares members to manage such issues in both academic and professional legal settings. APILSA also provides a common forum for expressing members’ needs and concerns as Asian Pacific Islander law students. APILSA strives to develop innovative programs that lend academic and peer support, and aspires to continue its long-standing success.","Asian Pacific Islander, Cultural/Ethnic",[apilsa@lawnet.ucla.edu](mailto:apilsa@lawnet.ucla.edu),[https://linktr.ee/uclalaw\_apilsa?fbclid=PAZXh0bgNhZW0CMTEAAadUIDlCct64-9\_UgwAbTGxeDyWVwd4BC7YbWWM-4n](https://linktr.ee/uclalaw_apilsa?fbclid=PAZXh0bgNhZW0CMTEAAadUIDlCct64-9_UgwAbTGxeDyWVwd4BC7YbWWM-4n),,https://www.instagram.com/ucla_apilsa/,,,
Association of Chinese Americans,"The Association of Chinese Americans is one of the largest social and cultural organizations on campus representing over 900 members. Our student group is involved in cultural, social, community, and political projects which benefit its members, campus, and community. Our programs are primarily geared toward the unique bi-cultural identity of Asian Americans striving to understand their heritage, history, and experiences. The goal of the Association of Chinese Americans is to educate and raise awareness about Asian American bi-culturality. We'd love to answer any questions you have! acabruins@gmail.com INSTAGRAM: @acabruins https://instagram.com/acabruins?igshid=MzRlODBiNWFlZA==","Cultural/Ethnic, Social",[acabruins@gmail.com](mailto:acabruins@gmail.com),[https://acabruins.org/](https://acabruins.org/),http://www.facebook.com/acabruins,http://www.instagram.com/acabruins,,,
Association of Hmong Students,"The purpose of the Association of Hmong Students (AHS) shall be to establish a Hmong identity, promote cultural awareness and be recognized as part of UCLA’s diversity. AHS also addresses the needs and concerns of Hmong students and the larger Hmong community through community organizations, outreach and advocacy. AHS aims to promote higher education, advocate and take appropriate action on issues affecting Hmong-Americans.","Cultural/Ethnic, Asian Pacific Islander",[ahmongsucla@gmail.com](mailto:ahmongsucla@gmail.com),[https://associationofhmongstudentsucla.weebly.com/](https://associationofhmongstudentsucla.weebly.com/),https://www.facebook.com/ahsucla.bruins,https://www.instagram.com/ahsucla/,,,
Association of Indonesian Americans,"Founded in 2020, the Association of Indonesian Americans is an organization for Indonesian-Americans, people of Indonesian descent, and people who are interested in the political, social, cultural, or educational aspects of the Indonesian-American community in the United States. This organization was formed out of a need to create a space for a group that is historically underrepresented in many facets of American society. As members of the Association of Indonesian Americans, we feel that it is our duty to not only learn and interpret Indonesian and Indonesian-American history and culture, but to empower Indonesian-Americans and members of this organization by uniting and supporting the Indonesian-American community through political advocacy, social interactions, cultural awareness, education, and outreach.","Cultural/Ethnic, Social Activism",[ucla.aiapresident@gmail.com](mailto:ucla.aiapresident@gmail.com),[http://uclaaia.org/](http://uclaaia.org/),https://www.facebook.com/ucla.aia,https://www.instagram.com/ucla.aia,,,
Backgammon Club at UCLA,"The Backgammon Club is going to be dedicated to forming a campus community of players who share a passion for this ancient and intellectually stimulating game. Whether an experienced player or completely new to backgammon, this club will offer an inclusive environment for learning and mastering the rules, strategies, and subtleties of the game. Backgammon, a game with over 5,000 years of history, not only serves as an amazing tradition into various cultures but also as a mental challenge that sharpens critical thinking, strategic planning, and decision-making. Its unique blend of skill and chance makes it an excellent tool for developing problem-solving skills under pressure, improve cognitive abilities, enhance pattern recognition, and boost resilience. The club will serve as a platform to connect with fellow students across campus who share an interest in the game, making it easier to find playing partners and form friendships. For people new to the game, there will be tutorials online and in-person when requested. We will hold regular game nights, workshops, and strategy sessions designed to help both beginners and advanced players improve their skills. Additionally, the club will organize friendly competitions and tournaments, offering members the opportunity to engage in healthy rivalry while also improving and enjoying this historic cultural tradition. The club will have backgammon players with years of experience, who are going to be ready to help other club members while enjoying the game themselves.","Cultural/Ethnic, Recreation",[khatchig24@g.ucla.edu](mailto:khatchig24@g.ucla.edu),,,https://www.instagram.com/backgammonclubatucla/,,,
Bangali Students Association (BSA) @ UCLA,"Bangali Students Association is committed to providing a safe space for students to educate and increase awareness of Bangali culture, language, and history.","Cultural, Cultural/Ethnic",[bsabruinsucla@gmail.com](mailto:bsabruinsucla@gmail.com),,,https://www.instagram.com/bsabruins/,,,
Bridges International,"Weekly meetings designed to help foster relationships between international and American students, enhancing the overall experience that an international student will have here in America. This is done through free food, fun activities, and friendships.","Cultural/Ethnic, Religious - Christian",[cheri.lawrence33@gmail.com](mailto:cheri.lawrence33@gmail.com),,,,,,
Bruin Bhangra,"Bruin Bhangra is a cultural competitive Indian dance team. We perform a style of folk dance called Bhangra that originated in northwest India in the state of Punjab, celebrating the festival of harvest. This high energy, fun workout incorporates western hip hop influence in its traditional and modern mixed music. In addition to competing in competitions across the nation, we, as a committee, also host the largest Bhangra competition in North America every memorial day weekend, tagged ""The Super Bowl of Bhangra.""","Cultural/Ethnic, Dance",[bruinbhangra@gmail.com](mailto:bruinbhangra@gmail.com),,https://www.facebook.com/bruinbhangraucla,https://www.instagram.com/bruinbhangra/,https://twitter.com/BruinBhangra,,
Bruins For Israel,"Bruins for Israel is an organization at UCLA that seeks to educate fellow students and faculty members with regards to the politics, culture, and history of the State of Israel. Our organization's members include Jews, non Jews, graduate and undergraduate students, and people from all political backgrounds.","Educational, Cultural/Ethnic",[bruinsforisrael@gmail.com](mailto:bruinsforisrael@gmail.com),,https://www.facebook.com/bruinsforisrael,https://www.instagram.com/bruinsforisrael,,,
Chinese Music Ensemble at UCLA,"The purpose of our ensemble is to meet a steady growth of interest in China and Chinese culture on campus and local communities by promoting learning, demonstration and performance of Chinese traditional music.","Music, Cultural/Ethnic",[uclacm@gmail.com](mailto:uclacm@gmail.com),,,,,,
"Genocide Relief, Awareness, and Community Education (GRACE)","The Genocide Relief, Awareness, and Community Education (GRACE) Organization is committed to preventing, addressing, and seeking justice for all forms of mass atrocities targeting ethnic and religious groups. In a world desensitized by digital media, GRACE attempts to combat the widespread ignorance of genocides by organizing events featuring speakers, survivors, and experts to share their stories and educate UCLA students. Each month, the organization will focus on a specific genocide, dedicating the month to lectures and presentations that explore the culture of the affected group, the nature of the genocide, and the pursuit of justice. Additionally, GRACE will promote donation efforts, educational resources, and petitions. While we recognize that such initiatives cannot resolve the larger issues at play, fostering a passionate student-led community is a crucial step that GRACE undertakes toward addressing the inaction perpetuating genocides worldwide.","Social Activism, Cultural/Ethnic",[gracucla@gmail.com](mailto:gracucla@gmail.com),,https://www.facebook.com/ucla.grac/,https://instagram.com/grace.ucla?igshid=MzRlODBiNWFlZA==,,,
Giddhe Diyan Raniyan,"Giddhe Diyan Raniyan is an Indian dance team that performs a style of dance called Punjabi giddha. Our purpose is to foster a community of amateur level dancers who are interested in learning a new dance style, meeting new people, and connecting with the Punjabi culture.","Cultural/Ethnic, Dance",[giddhediyanraniyan@gmail.com](mailto:giddhediyanraniyan@gmail.com),,https://www.facebook.com/gdrucla,https://www.instagram.com/gdr_ucla/,,,
Grupo Folklórico de UCLA,"Established in 1966, Grupo Folklórico de UCLA remains committed to the celebration of Mexican heritage through regional music and traditional dances. Our goals are to create positive Latino/a/x role models, promote cultural awareness throughout the campus community, and encourage the youth of Los Angeles to celebrate their cultural roots and to continue on to institutions of higher learning, like UCLA. No experience is necessary to join our group!","Dance, Cultural/Ethnic",[gruposecretary@gmail.com](mailto:gruposecretary@gmail.com),,,https://www.instagram.com/gfdeucla,,,
Hablamos Juntos,"Hablamos Juntos is a student-led organization dedicated to empowering Spanish-speaking families by improving children's speech development. Our club provides specialized training for undergraduate students during the fall quarter, equipping them with the skills to teach monolingual Spanish-speaking parents effective strategies to enhance their children’s communication skills. In the winter and spring quarters, these students lead parent training sessions, offering guidance and support to families in need. Hablamos Juntos offers a unique opportunity for students to engage in meaningful community service while developing valuable teaching and communication skills. By fostering a collaborative and inclusive environment, we aim to make a positive impact on the educational and social development of Spanish-speaking families.","Service - Outreach, Cultural/Ethnic",[hablamosjuntos.scope@gmail.com](mailto:hablamosjuntos.scope@gmail.com),,,https://www.instagram.com/hablamosjuntosss?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,,
