Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
Cricket Club,"The mission of the UCLA Cricket Club is to promote the spirit of cricket, and foster an interest in the sport within the UCLA community. We organize regular practices, matches and team-building for students and aim to compete at the inter-collegiate level in leagues and tournaments held by the National College Cricket Association (NCCA).",,,,,,,,
Cycling,"The Cycling Club is about instilling a sense of community at UCLA and getting out to explore coffee shops, mountains, and more around the LA area. There is no requirement to race and the club includes riders interested in mountain biking, road cycling, track cycling, cyclocross, and anyone who just wants to find people to ride bikes with!",,,,,,,,
Dragon Boat,"UCLA Dragon Boat is a student-run competitive Club Sports team. We are 50 paddlers strong, making up two race crews: Blue and Gold. Through hard work and dedication, our team not only helps its members develop as paddlers, but also as students, athletes, and leaders. Above all else, UCLA Dragon Boat strives to be competitive, passionate, and fun.",,,,,,,,
Equestrian,The UCLA Equestrian Team is a horseback riding program involving both practice and shows. We have a hunt seat team and compete in the Intercollegiate Horse Show Association (IHSA).,,,,,,,,
Esports,Esports division of Club sports featuring 50+ athletes in 8+ different teams across 8 titles.,,,,,,,,
Fencing,"The sport of fighting with swords, especially foils, épées, or sabers, according to a set of rules, in order to score points against an opponent.",,,,,,,,
Field Hockey,Co-Ed field hockey at UCLA.,,,,,,,,
Figure Skating,Our team welcomes both recreational and competitive figure skaters. Anyone who is interested or loves to figure skate can join! Our competitive team participates in the USFSA Intercollegiate Team Figure Skating series.,,,,,,,,
Golf,"We are a club for golfers of all levels to improve their skills. We have practices every Thursday at 7:00 pm and Saturday at 9:00 am. We organize casual and competitive playing opportunities during the Fall, Winter, and Spring quarters.",,,,,,,,
Gymnastics,Ice Hockey,,,,,,,,
Ice Hockey team playing in the WCHC League.,Judo,,,,,,,,
"Judo is best known for its throwing techniques but also includes numerous techniques for controlling an opponent while on the ground. A good judoka, one who practices Judo, will first use timing and leverage to bring his opponent off balance and execute a throw, and then immobilize with grappling maneuvers or submit with arm locks and choke holds. This class will foster general fitness and well-being, and develop real-world safety and self-defense strategies, all while improving physical fitness, flexibility, strength, coordination, and agility.",Kendo,,,,,,,,
UCLA Kendo was founded in Fall 2002 to advance collegiate Kendo. The concept of Kendo is to discipline the human character through the application of the principles of the katana.,"Lacrosse, Men's",,,,,,,,
"Lacrosse, Women's","UCLA Women's Lacrosse is a part of the Western Women's Lacrosse League (WWLL) and the Women's Collegiate Lacrosse Association (WCLA). We have attended nationals consistently over the last decade and recently won the WCLA National Championship this past year in Wichita, Kansas, for the first time in program history. We are excited for the bright future of this club.",,,,,,,,
Ninjutsu,Olympic Weightlifting,,,,,,,,
"At UCLA Club Olympic Weightlifting, we train the Snatch and the Clean & Jerk. Our members compete locally, nationally, and internationally. Experience is not required to join and we welcome all skill levels!",Pickleball,,,,,,,,
Bringing Bruins together through the sport of pickleball! Our goal is to foster a thriving community where you can meet new people and have fun pickling. We also plan to compete against other universities at the highest collegiate level. See you on the courts!,Powerlifting,,,,,,,,
"UCLA Powerlifting is dedicated to fostering a supportive and inclusive environment for lifters of all levels to come together, gain skills and knowledge, get stronger, and build a sense of community.",Quadball,,,,,,,,
"Quadball is a mixed gender, contact sport that combines the best of rugby, basketball, and dodgeball, all while holding brooms between our legs. Keepers and Chasers attempt to score on the other teams' three hoops with a volleyball, and Beaters use dodgeballs to knock people out of play. Tom Marks brought the sport to UCLA in 2009, inspired by Xander Manshel at Middlebury College. UCLA Quadball is a tight-knit community and highly competitive on a regional and national level.",Roundnet (Spikeball),,,,,,,,
We are the 6th-Ranked college roundnet club in the country.,"Rowing, Men's",,,,,,,,
"UCLA Men's Rowing is an elite group of scholar athletes that competes on the national stage. Best of all, there is NO EXPERIENCE NECESSARY! We welcome all interested students into our LEARN TO ROW program. Join us for the college experience of a lifetime!","Rugby, Men's",,,,,,,,
"We aim to provide UCLA students with the opportunity to learn more about the game of rugby, as well as to train and compete at a D1 level.","Rugby, Women's",,,,,,,,
UCLA Bruin Rangers Instagram: @uclawrugby Facebook: UCLA Women's Rugby,Running,,,,,,,,
"We are an entirely student-led club focused on bringing Bruins a common place on campus to run, explore, and have fun together. We meet Mondays-Fridays for practice, where we offer routes to run between 3-7 miles. All of our members come from a wide variety of running backgrounds; whether you are a first-time jogger looking for workout partners or a former cross-country/track athlete trying to stay competitive, we welcome you all!",Sailing,,,,,,,,
A competitive racing team in the Pacific Coast Collegiate Sailing Conference.,Ski and Snowboard,,,,,,,,
"Competitive winter sports team competing in the Ski Giant Slalom, Ski Slalom, Ski Cross, Snowboard Giant Slalom, Snowboard Cross, and Freestyle events.","Soccer, Men's",,,,,,,,
UCLA Men's Club Soccer is a student-run organization that provides students with the ability to compete competitively against other collegiate club soccer teams.,Phone Number:,,,,,,,,
8584148991,Email:,,,,,,,,
"Soccer, Women's",We are a competitive soccer team that practices 3x weekly and competes on weekends with other universities.,,,,,,,,
Softball,A competitive women's fastpitch softball team on campus!,,,,,,,,
Squash,"Squash is a racquet sport played by two or four players in a four-walled court with a small, hollow rubber ball. We hold practice twice a week for recreational and competitive players, and look forward to play against other colleges.",,,,,,,,
Swim,"Hello! We are California's first Club Swimming team! We train Mondays, Wednesdays, and Fridays from 6:00 to 7:30 p.m. at the Student Activities Center Pool in the heart of campus. Our longtime coach, Mike Santo, is very experienced but still maintains a chill, fun environment at practice. He gives us the sets to swim during practice and alters them according to each swimmer's skill levels. Our team enthusiastically accepts swimmers of all skill levels, from swimmers who decide to join just for recreation, to swimmers who want to qualify to compete at Club Swim Nationals in April. In terms of meets, we usually have around two meets per quarter, with one travel meet and one home meet at Spieker Aquatics Center (where the Division I NCAA team competes!). All of our meets and practices are optional, but team members are highly encouraged to participate in order to bond with the team, represent UCLA, and have fun in the water. We will be having free practices during Week 1 to allow new members to get a feel for the inclusive vibes and relaxed energy of our team before deciding to register. The best way to keep up with our team is by liking our Facebook page (UCLA Club Swimming) or following us on Instagram (@uclaclubswimming). Team dues are $70 per quarter, or $180 for the whole year, making swimming one of the least expensive club sports teams.",,,,,,,,
Table Tennis,"The UCLA Table Tennis Club welcomes both recreational and competitive players, uniting students with a common passion for table tennis. It is a place for students to relieve stress, learn the basics of the sport and enjoy it with other students in the UCLA community. Students can also join Varsity and Junior Varsity teams to represent UCLA in divisional, regional, and national-level tournaments. Our ultimate goal is to teach our members more about the world of table tennis as well as establishing a fun-loving community of passionate players.",,,,,,,,
Taekwondo,"Our club holds practice on Monday, Wednesday, and Friday nights. Every practice, we work on kicking techniques, forms, sparring, and conditioning. All skill levels are welcome -- no previous experience is required! This club is a great place to learn, practice, and compete in Taekwondo -- it has something for everyone. Feel free to check us out anytime!",,,,,,,,
Tennis,"Club Tennis offers a space to all students who want to play tennis, no matter the skill level! Bruin Club Tennis is composed of two parts: a general club and a competitive team. Our general club is open to any and all UCLA students, faculty, and alum and is a great way for Bruins to meet new people while having a workout. During the year, we put on a number of events, from a beach bonfire to KBBQ to Indian Wells. Practices are 9-11pm on Tuesdays and Thursdays. The second half of BCT is the competitive team – our traveling team who are the 2022 national champions! Our competitive team practices just before general club and competes in tournaments throughout the year up and down California against some of the best collegiate club teams in the country in preparation for the national championship. Competitive team practices are 7-9pm on Tuesdays and Thursdays. Tryout information will be provided at the beginning of each school year.",,,,,,,,
Track and Field,We are a fitness outlet for students of all levels to get in shape and compete in track and field events throughout the school year.,,,,,,,,
Triathlon,"UCLA Triathlon is an official club sport of the University of California, Los Angeles. In addition to a structured program for students, UCLA Triathlon also provides coaching and a team atmosphere for staff, faculty, alumni, and community members. UCLA Triathlon is committed to helping all members, from elite to beginners, reach their athletic goals.",,,,,,,,
"Ultimate, Men's","We are UCLA's D1 Ultimate Program, competing in regional and national tournaments. We have both a competitive and developmental team. We accept players of all skill levels and aim to foster a community of fun, competition, and lifelong athleticism. Come play one of the fastest-growing sports in the country!",,,,,,,,
"Ultimate, Women's","Founded in 2003, Bruin Ladies Ultimate (BLU) is the UCLA club women's ultimate team. We've attended nationals 11 times, finishing as high as 2nd. We hope to return again in 2025! Contact us at blu.ultimate@gmail.com",,,,,,,,
"Volleyball, Men's",Competitive volleyball team that will compete in regional and national tournaments.,,,,,,,,
"Volleyball, Women's",Women's Volleyball allows undergraduate and graduate students to pursue their love for volleyball with weekly team practices and competitive tournaments.,,,,,,,,
"Water Polo, Men's","Water Polo, Women's",,,,,,,,
Striving to create an inclusive environment for all to experience the joy of water polo.,Water Ski,,,,,,,,
"We are a Regionally and Nationally competitive Waterski team for the Western Conference. Our members participate in all three events, slalom, trick, and jump. We welcome all interested students with any skill level.",Wrestling,,,,,,,,
"We practice two times a week and attend local and national competitions during the school year. If you have any questions, contact us through our Instagram @uclawrestling or email us.",Wushu,,,,,,,,
"Wushu refers to Chinese Martial Arts. In modern or sport Wushu, taolu (forms) are commonly practiced. Forms practiced include various empty fist and weapon types, and are practiced for competition and performance, but also for martial application and health. UCLA Wushu is the official Wushu team of the University of California, Los Angeles. Since its founding in 1986, it has established itself as one of the most prominent Wushu teams in the United States collegiate scene. Athletes and alumni from UCLA Wushu have competed in the World Wushu Championships, World Junior Wushu Championships, Pan-American Wushu Championships, and the World Traditional Wushu Championships. UCLA Wushu trains weekly with people of all experience, annually participates in the Collegiate Wushu Tournament and performs at select events, notably the Chinese American Cultural Night at Royce Hall.",,,,,,,,,
Asian Pacific American Medical Student Association (APAMSA),"APAMSA is a medical student-run organization at UCLA DGSOM dedicated to the establishment of a medical system that provides culturally competent services, resources, support, and community education to underserved APIA communities as well as the larger underserved population. We are committed to political advocacy, improving APIA representation in the bone marrow registry, and providing services to those at risk for hepatitis B. We seek the professional development of medical students and undergraduates interested in APIA health though building a community with other medical students, faculty, physicians, and other health professionals.","Medical, Asian Pacific Islander",,,,,,,
Asian Pacific Coalition,"The Asian Pacific Coalition serves as the political voice for Asian American Pacific Islander American communities on campus. The organization acts as an advocacy group for AAPI student groups, bringing together diverse communities to address political, social, educational, and cultural issues.","Asian Pacific Islander, Political",,,,,,,
Asian Pacific Health Corps (APHC),"Established in 1980, Asian Pacific Health Corps (APHC) at the University of California, Los Angeles, is an official student community service organization devoted to serving disadvantaged Asian Pacific Islander (API) communities that have minimal access to health care and limited financial resources through free screenings, referrals, and health literacy education.","Community Service, Asian Pacific Islander",,,,,,,
Asian Pacific Islander Law Students Association,"APILSA serves as a valuable resource and a significant social support network for law students to succeed academically, socially, politically, and professionally. APILSA coordinates numerous events and activities that educate and inform members about current Asian Pacific Islander issues, and prepares members to manage such issues in both academic and professional legal settings. APILSA also provides a common forum for expressing members’ needs and concerns as Asian Pacific Islander law students. APILSA strives to develop innovative programs that lend academic and peer support, and aspires to continue its long-standing success.","Asian Pacific Islander, Cultural/Ethnic",,,,,,,
Association of Hmong Students,"The purpose of the Association of Hmong Students (AHS) shall be to establish a Hmong identity, promote cultural awareness and be recognized as part of UCLA’s diversity. AHS also addresses the needs and concerns of Hmong students and the larger Hmong community through community organizations, outreach and advocacy. AHS aims to promote higher education, advocate and take appropriate action on issues affecting Hmong-Americans.","Cultural/Ethnic, Asian Pacific Islander",,,,,,,
CultivAsian,"CultivAsian is a student organization with the mission to destigmatize conversations about mental health and raise awareness of mental health issues in Asian young adults through multimedia and social media presence. We provide a safe space for students to give back to their communities by working on creative multimedia projects such as podcasts, videos, blog posts, and photography and publicizing them to the community.","Health and Wellness, Asian Pacific Islander",,,,,,,
Filipino Americans in Medicine (FAiM) at UCLA,"FAiM at UCLA is an organization of Filipino-American medical students at the David Geffen School of Medicine at UCLA and healthcare providers at UCLA Health. Our Mission - To establish a strong network of physicians, residents, medical students, and undergraduates that will provide mentorship, support, and guidance throughout their professional careers. - To provide a space to share and translate common values and lived experiences into developing passions in the medical field and for underserved communities. - To educate medical students about healthcare disparities that affect the Filipino community and to share existing and potential interventions. - To provide basic health screenings and education to the Filipino community in the Greater Los Angeles area. - To provide mentorship to UCLA undergraduate students by increasing exposure to community engagement, volunteer, and social events.","Cultural, Asian Pacific Islander",,,,,,,
Hanoolim: Korean Cultural Awareness Group at UCLA,"Hanoolim: Korean Cultural Awareness Group is a student club at the University of California, Los Angeles that was founded in 1990 with the vision of spreading Korean culture and awareness across the Los Angeles community. Since its establishment, Hanoolim has played an integral role in bringing Korean culture to UCLA through the numerous events it hosts such as Korean Culture Night, the largest student run Korean production in the nation. As a student organization, we aim to build strong bonds between members and the UCLA community and create lasting memories for our members through social programs. Join us as we create a show that has a lasting impact on our community.","Cultural/Ethnic, Asian Pacific Islander",,,,,,,
Koreans 4 Decolonization at UCLA,"Koreans 4 Decolonization is an identity-based political organization for Korean students and allies to learn more about Korean history and resistance efforts and form community with other students. Koreans for Decolonization is a project by diasporic Korean students who are interested in getting involved politically and connecting with other Korean activists and allies. We are guided by principles of anti-imperialism, anti-militarism, and belief in decolonization and Korean reunification (tongil). We provide political education on the history of colonization and imperialism in Korea as well as past and present resistance movements on the peninsula and abroad. Toojeng!","Social Activism, Asian Pacific Islander",,,,,,,
Omega Sigma Tau Fraternity,"Omega Sigma Tau is the first and largest Asian-interest fraternity at UCLA. Now entering its 58th year, our fraternity aims to instill the ideals of Brotherhood, Class, Confidence, Excellence, and Diversity in all of its brothers.","Greek Life - Fraternities, Asian Pacific Islander",,,,,,,
Pilipinx Pre-law Pipeline,The Pilipinx Pre-Law Pipeline (3P) has a vision rooted in kapwa. Kapwa is the shared mentality that “I am because you are”. It is a cornerstone of normative Pilipinx thought that encapsulates the sense of shared identity within the Pilipinx community. We aim to strengthen this sense of kapwa to combat the inequalities within the legal field and to highlight the importance of increasing Pilipinx representation in legal professions.,"Law, Asian Pacific Islander",,,,,,,
Save Cantonese at UCLA,"Mission and Vision Statement Save Cantonese at UCLA is part of a larger international movement that sustains and celebrates Cantonese language and culture. Through grassroots advocacy, we protect and promote local language programs, while strengthening connections across the global Cantonese diaspora. We recognize and honor the long history of Cantonese people at UCLA and their contributions to our campus community as laborers, students, and educators. We ensure that present and emerging generations benefit from a vibrant, thriving Cantonese-speaking and learning community. We welcome people from all backgrounds and language abilities. Strategic Aims 1. Protect and strengthen educational and research infrastructure for Cantonese as a language at UCLA and beyond. 2. Affirm the value of Cantonese culture and identity at UCLA and in societies around the world. 3. Build a movement of Cantonese diasporic and language-learning communities to take collective action at UCLA.","Asian Pacific Islander, Cultural",,,,,,,
School of Nursing Asian Pacific Islander Nursing Student and Alumni Association (APINSAA),"To support UCLA School of Nursing's Asian and Pacific Islander (API) nursing students and alumni through community engagement, scholarship and service.","Asian Pacific Islander, Medical",,,,,,,
"Academic, Mentorship, and Professional Development Project","AMPD provides MSA UCLA members services and resources to become stronger Muslim leaders in the academic and professional spheres through free textbook loans and study notes, peer and alumni mentorships, pre-professional workshops and internships. Our peer mentorship program pairs incoming students with the upperclassmen and guides them through the Muslim college student experience. Students are further guided towards the profession they are interested in through internships, pre-professional workshops and an annual networking event.","Academic, Career Planning",[ampdacademics@gmail.com](mailto:ampdacademics@gmail.com),[https://sites.google.com/view/ampducla/home](https://sites.google.com/view/ampducla/home),,https://www.instagram.com/ampducla/,,,
Advanced Degree Consulting Club,"Advanced Degree Consulting Club (ADCC) serves advanced degree candidates (with a specific focus on PhD and Master students) that are passionate about pursuing management consulting as their career path. Our Goals are: 1. Serve advanced degree candidates (with a specific focus on PhD and Master students) that are passionate about pursuing management consulting as their career path. 2. Create a community of future consultants and business leaders with advanced degrees and provide a platform for information exchange and networking. 3. Bridge the gap between the academic world and the business consulting industry by hosting consulting career events, career fairs, workshops and other related events. 4. Develop partnerships and share resources with other consulting organizations and groups.","Business, Career Planning",[contact@adccucla.org](mailto:contact@adccucla.org),[http://adccucla.org](http://adccucla.org/),https://www.facebook.com/adcc.ucla,,,,
American Society of Civil Engineers,"The American Society of Engineers Student Chapter at UCLA (ASCE at UCLA) is a student run organization primarily interested in developing the young engineer with an emphasis in civil engineering. The organization competes in ten major design projects and two community service based project, and programs a wide variety of events including career fairs, professional development workshops, speakers, mentorship opportunities, field trips, intramural sports, and social functions. ASCE at UCLA consists of student members with a wide variety of backgrounds and academic levels, and often students from outside the major even join the group to take advantage of the many opportunities that ASCE membership can provide. The underlying goal of the student chapter's leadership team is to foster an environment that not only promotes engineering skills and professional development, but also helps to build the foundation for strong and enduring friendships for years to come. Since being chartered in 1959, UCLA's ASCE Student Chapter has grown into an active student-run organization that strives to promote the professional development of civil engineering students through curriculum-enriching activities.","Engineering, Career Planning",[uclaasce@gmail.com](mailto:uclaasce@gmail.com),[http://www.ascebruins.org/](http://www.ascebruins.org/),https://www.facebook.com/groups/AsceUcla,https://www.instagram.com/asce_bruins/,,,
Arab American Association of Engineers and Architects (AAAEA),"The UCLA student chapter of the Arab American Association of Engineers and Architects (AAAEA), founded in 2015, is a non-political, non-religious, professional and social club dedicated to strengthening, empowering, and inspiring STEM and Architecture students to achieve excellence through meaningful encounters. In our pursuit of creating a more interactive, and engaging professional and academic experience at UCLA, we will be putting on a variety of events, including: Scholarship Awards, Company Info Sessions and Tours, Internship Application Building Sessions, Mentorship Programs, and Networking Meetings with other chapters across the nation. With the goal of building an inclusive and uplifting social environment, we will help make you feel at home at UCLA by introducing a family program as well as social and cultural events throughout the year. Those include Live Cooking Classes, Trivia Nights, and Game Nights.","Academic, Career Planning",[banangarada@gmail.com](mailto:banangarada@gmail.com),[https://aaaeaca.org/bruin-student-chapter/](https://aaaeaca.org/bruin-student-chapter/),https://www.facebook.com/aaaea.bruins,https://www.instagram.com/aaaea.bruins/,,,
ASBMB @ UCLA,American Society for Biochemistry and Molecular Biology (ASBMB) at UCLA is a dedicated organization aimed at helping to connect students with the common ambition to pursue a scientific career. ASBMB is a national organization that offers resources and promotes research across the country. Our overarching mission is to propel the enhancement of educational prospects and opportunities available to undergraduate students at UCLA.,"Academic, Career Planning",[asbmbucla@gmail.com](mailto:asbmbucla@gmail.com),,,https://www.instagram.com/asbmb_ucla/,,,
Association of Moving Image Archivists Student Chapter @ UCLA,"The Association of Moving Image Archivists (AMIA) is a non-profit professional organization that works to advance the practice of moving image archiving. The AMIA Student Chapter at UCLA was founded in 2000 and provides a social and intellectual forum for students interested in saving priceless cinematic history. Moving images are the preeminent art form of the 20th Century and, as such, provide much insight into the past and into culture as a whole. To promote the safeguarding of such a precious resource, AMIA Student Chapter members engage in a multitude of activities including attending symposia, organizing lectures and curating screenings of significant films. By attending an AMIA Student Chapter of UCLA screening or event, you are personally contributing to the ongoing education of rising archivists and preservationists. With help from you, students are able to engage in more activities at a greater level.","Film, Career Planning",[amiaatucla@gmail.com](mailto:amiaatucla@gmail.com),,,https://www.instagram.com/amiaatucla/,https://twitter.com/AMIAatUCLA,,
Aurum Cosmetics,"Interested in cosmetics, chemistry, product development, beauty tech, or marketing? Aurum Cosmetics is the first and only club that comprehensively follows the beauty industry. We take a holistic approach, looking at everything from the science and formulations, to marketing and networking. The beauty industry will only keep growing, and we strive to be a resource to our peers and share our passion.","Career Planning, Educational",[aurumcosmetics@g.ucla.edu](mailto:aurumcosmetics@g.ucla.edu),,,https://www.instagram.com/uclaaurum/,,,
Beta Alpha Psi,"Beta Alpha Psi is a student organization that aims to help students interested in the business, finance, and accounting fields become more educated about these areas of business and what they have to offer in terms of future job opportunities. We provide workshops to help improve members' professional development and create opportunities for our members to network with real-life professionals from the working world to gain firsthand advice from them about recruiting and the future of those in the business.","Business, Career Planning",[board@baybruins.com](mailto:board@baybruins.com),[https://www.baybruins.com/](https://www.baybruins.com/),https://sa.ucla.edu/facebook.com/baybruins,https://www.instagram.com/uclabay,,,
Bioethics Student Interest Group,"The DGSOM Bio-Ethics group is a student-led interest group committed to providing students with a unique forum to learn about and discuss ethical issues as they pertain to human health, biomedical research, and clinical healthcare practices. Our goals are to stimulate discussion of potential ethical issues that students may encounter in their careers, and to equip students with several basic strategies to think through ethical dilemmas within a structured, rational framework. As a secondary objective, we aim to advocate for greater incorporation of medical ethics into the DGSOM curriculum. These objectives will be accomplished through student-led meetings, inviting guest speakers to discuss actual cases, and working with the DGSOM administration on curriculum reform projects. A student-led medical ethics panel will provide additional opportunities for students to discuss actual cases brought forth by fellow students, residents, or faculty, and to reinforce the knowledge gained from their interest in bioethics.","Medical, Career Planning",[sbhattaraikline@mednet.ucla.edu](mailto:sbhattaraikline@mednet.ucla.edu),,,,,,
Bruin Actuarial Society,"Bruin Actuarial Society is the premier actuarial student organization at UCLA. We serve as a liaison between the UCLA Actuarial Undergraduate Community and the professional actuarial community, especially those with offices in the Southern California region. Over the past 2 decades, we've actively provided our members with the resources and opportunities necessary for a future career in the actuarial industry.","Business, Career Planning",[bruinactuaries@gmail.com](mailto:bruinactuaries@gmail.com),[http://math.ucla.edu/~actuary/](http://math.ucla.edu/~actuary/),https://www.facebook.com/bruinactuaries,https://www.instagram.com/bruinactuaries/,,,
Bruin Advertising and Marketing Team,"Bruin Advertising & Marketing Team is UCLA’s only student-run ad agency. Our goal is to build a supportive network of diverse students who are passionate about marketing. Every year, we participate in the National Student Advertising Competition where we create a detailed marketing plan for a corporate client and present it in front of industry professionals. Funding for our program would enable us to compete in the competition and provide foundational marketing experience for our members.","Business, Career Planning",[bruinadteam@gmail.com](mailto:bruinadteam@gmail.com),[https://bruinadteam.com/](https://bruinadteam.com/),https://www.facebook.com/bruinadteam,https://www.instagram.com/bruinadteam/,https://twitter.com/BruinAdTeam,,
Bruin Asset Management,"Bruin Asset Management is a student-run finance organization that hopes to create an interactive, hands-on, and practical way for finance-inclined students to go through simulated stock pitches and investor presentations. BAM hopes to develop skills and abilities of members including but not limited to delivering presentations, teamwork, financial modeling, research, and others. BAM intends to prepare students for future professional careers in finance and create a network of motivated individuals who share common interests.","Business, Career Planning",[bruinassetmanagement@gmail.com](mailto:bruinassetmanagement@gmail.com),[http://bruinam.com](http://bruinam.com/),https://www.facebook.com/BruinAssetManagement/,https://www.instagram.com/bruinassetmanagement/?hl=en,,,
Bruin Career Exploration,"Bruin Career Exploration will consist of weekly (virtual and in-person) meetings with a different guest speaker. The guest speakers will pertain to different career fields to help expose undergraduate students at UCLA to the multitude of career paths available and the trajectory that led the speakers to their end goal, e.g. education, clubs joined & internships. In addition, we will ask undergraduate students with internship experience to recount how they landed the opportunity and the advice they give to people looking for internships but are unsure on how to apply. We will also have resume-building workshops.","Career Planning, Business",[bruincareerexploration@gmail.com](mailto:bruincareerexploration@gmail.com),,,,,,
Bruin Guidance,"Bruin Guidance is dedicated to offering comprehensive, high-quality mentorship and resources, specifically designed to demystify the pre-medical journey and streamline the college application process. Our core mission is to bridge the gap in access to vital educational insights, ensuring that all students—both within our program and those we serve—are empowered to make informed decisions about their academic and professional futures. By fostering a deeper understanding of higher education pathways, particularly in the pre-medical field, we aim to cultivate a more equitable landscape where every aspiring student has the tools and knowledge to succeed. We also seek to provide young children guidance about prevention of common injuries and diseases. We seek to serve our community by providing this knowledge to children in under-served areas and help them develop healthy habits.","Career Planning, Health and Wellness",[pranavpotrevu@gmail.com](mailto:pranavpotrevu@gmail.com),,,,,,
Bruin Mates,"Bruin Mates is a new career networking organization for UCLA undergraduates. We have organized with the following founding board members; President, Vice President, Secretary, Treasurer, Director of Events, and Director of Marketing. We will hold four quarterly membership meetings, as well as bi-monthly networking functions including speakers from top tier LA-based companies. We do not plan to charge a membership fee to join, but we will charge a small event fee to cover the cost of each event (venue, refreshments, etc, - speakers will volunteer their time). We will promote our club on social media (Instagram, Reddit, Discord, and LinkedIn). And we will have a booth at the club day, where officers will recruit members and hand out flyers and stickers with our Bruin Mates logo. While UCLA is a large and vibrant campus, there are not enough clubs that serve students who want to participate in career enhancing activities on campus. This is evidenced by the very low acceptance rate into existing networking clubs. We will be a welcoming and inclusive business networking community without any requirements of major or GPA to discourage participation. Our founders include four-year and transfer students, students who live both on and off-campus, students with business, liberal arts and fine arts majors. We have substantial work experience and depth in the LA community that will enable us to attract corporate speakers and support. Our goal is to build a community of career-minded Bruins where we connect ambitious students with professionals in various industries so they can learn and build meaningful relationships. We hope to empower our club by providing events that connect our members to one another. We will do this by hosting various events such as club meetings, team bonding activities, and having guest speakers talk about their experience in their respective fields. The founding members are very excited to put our plans into action this fall. We appreciate your consideration and support. Thank you!","Career Planning, Business",[BruinMates@gmail.com](mailto:BruinMates@gmail.com),,,https://www.instagram.com/bruinmates/,,,
Bruin Real Estate Association,The Bruin Real Estate Association is dedicated to providing its members with the skills and connections necessary to succeed in the highly competitive fields related to commercial real estate investments.,"Business, Career Planning",[brea@g.ucla.edu](mailto:brea@g.ucla.edu),[http://uclabrea.org/](http://uclabrea.org/),,,,,
Bruin Reserve Bank,"Bruin Reserve Bank is the only student organization at UCLA which educates students on monetary policy and prepares them for national collegiate championships like the Federal Reserve Challenge. BRB also serves to enhance the economic and financial literacy of UCLA students through club presentations, reports, and seminars. Further, we prepare students for careers in Consulting, Finance, and Economics Research through workshops, seminars, and networking opportunities.","Business, Career Planning",[bruinreservebank@gmail.com](mailto:bruinreservebank@gmail.com),,,https://www.instagram.com/bruinreservebank/,,,
Bruins for Business Health at UCLA (BBH),"With a mission to introduce free resources to fellow Bruins, BBH has since prepared several cohorts for a successful career in this emerging industry. Members have access to exclusive networking opportunities, tailored professional resources, and a business healthcare community!","Career Planning, Business",[bruinsbusinesshealth@gmail.com](mailto:bruinsbusinesshealth@gmail.com),[https://bruinsbusinesshealth.wixsite.com/home/copy-of-2023-2024-board](https://bruinsbusinesshealth.wixsite.com/home/copy-of-2023-2024-board),,https://www.instagram.com/bruinsbusinesshealth/?hl=en,,,
