Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
"The Saudi Arabian Student Association (SASA) at the university serves as a hub for cultural exchange, uniting students from Saudi Arabia to celebrate their heritage, supporting our members to excel, and fostering a sense of community while promoting a rich understanding of Saudi culture and traditions across campus.",Category:,,,,,,,,
"Cultural, International Students",Email:,,,,,,,,
"SouLA A Cappella is an all-Chinese A Cappella group in UCLA, founded in Spring 2013. Now more than ever, we recognize our mission to be engaging people in a diverse endorsement of culture and music. We do so by exploring more music genres from different cultures, and rearranging them into the form of a cappella. By focusing on fusing western and eastern music styles, we truly hope that everyone listening to our music will get a more diverse mindset and be curious about world music and culture.",Category:,,,,,,,,
"Music, International Students",Email:,,,,,,,,
"Turkish Student Association (TSA) aims to create a welcoming community for Turkish students and those interested in Turkish culture and language at UCLA. The club provides a platform to share cultural experiences, foster friendships, and offer support to students from or interested in Turkey and Turkish Culture. Our organization will host cultural gatherings and celebrate Turkish heritage and traditions. We strive to promote cultural understanding and academic collaboration among students of all backgrounds.",Category:,,,,,,,,
"Cultural, International Students",Email:,,,,,,,,
"The International Student Representative and the office was established to support and represent the needs and voices of the international-identifying community at UCLA. The ISR Office aims to undertake numerous projects ranging from cultural awareness and celebration of the international student diversity to advocacy efforts in raising the concerns and struggles of international students and striving for a solution. The ISR office aims to promote, initiate, and support efforts that encourage improved support and inclusion for international students, and shall thus also act as a liaison and support office for international students to the best of its ability.",Category:,,,,,,,,
"Student Government - USAC Affiliated, International Students",Email:,,,Social Media:,,,,,
The Graduate Students Association of the Department of European Languages and Transcultural Studies is responsible for student programming of events as well as representation/communication of student issues to department faculty and staff. The GSA Board is elected from a democratically nominated pool of candidates representing all language sections in accordance with our constitution. The result of this collaboration is an even distribution of both GSA responsibilities and representation within the department.,Category:,,,,,,,,
"Student Government - GSA Affiliated, GSA Affiliated",Email:,,,,,,,,
"The Graduate Student Association of Archaeology (GSAA) encourages the investigation of material culture and human behavior through archaeological research, discussion, and collaboration. It is the principal organizing body for all graduate students in the Cotsen Institute of Archaeology, although it welcomes applications from any UCLA graduate student with an interest in archaeology. The GSAA functions as a forum for its members to elect representatives, make collective decisions, organize events, and share concerns and news that pertain to the Cotsen IoA, the broader UCLA community, and the discipline of archaeology as a whole. Such matters include, but are not limited to, teaching assistant responsibilities and experiences, graduate curriculum, graduate student funding, career possibilities, publishing opportunities, and research. The GSAA endeavors to serve the academic and social wellbeing of its members.",Category:,,,,,,,,
"Academic, GSA Affiliated",Email:,,,,,,,,
"The Iranian Graduate and Professional Association (IGPA) is dedicated to serving Iranian graduate and professional scholars across the UCLA campus. We estimate that there are approximately 500 Iranian graduate and professional scholars at UCLA, spanning various fields including medical, STEM, and non-STEM disciplines. Our primary focus is to foster a sense of community among these Iranian scholars, many of whom are thousands of miles away from their families and friends. We achieve this by organizing events that celebrate Iranian culture and scheduling both professional and informal gatherings where scholars can connect with their peers, seek guidance, and build a professional network. These gatherings are particularly beneficial during the Fall quarter, as newcomers can obtain helpful academic and non-academic information. For a more detailed overview of our group's foundation and objectives, please refer to our constitution. Additionally, our Instagram profile (@igpaatucla) offers insights into our past events and provides updates on upcoming ones.",Category:,,,,,,,,
"GSA Affiliated, International Students",Email:,,,,,,,,
"The Latine Graduate Student Association (LGSA) is an organization that strives to create a safe and welcoming space for Latine graduate students on campus across all departments and programs to come together and form community. LGSA promotes the advancement of Latines in academia and professional spaces and strives to uplift our Latine community, especially in the LA area, through community service projects and initiatives. Through their work and community-building efforts, LGSA members uphold it's four pillars which are Comunidad, Herencia, Growth, and Service.",Category:,,,,,,,,
"Cultural/Ethnic, GSA Affiliated",Email:,,,,,,,,
"The PhD Student Nursing Association aims to foster peer-to-peer and faculty-student mentorship, build a supportive community among students, enhance relationships between students and faculty, and provide professional development opportunities for students. Events will include quarterly social events for students across all years to gather in person, meet with faculty, and engage in professional development. The group will also share institutional knowledge about progression through the program and will collect and maintain lists of current students and their dissertation topics, conferences, networking events, funding opportunities, and potential cognate classes.",Category:,,,,,,,,
"GSA Affiliated, Academic",Email:,,,,,,,,
The Alliance of Formerly Incarcerated & System-Involved Students (AFISIS) is a group rooted in abolitionist values advocating to create pathways for formerly incarcerated and system-involved students to enter law school and the legal profession. AFISIS is composed of students who are formerly incarcerated/system-involved and allies. AFISIS works to dismantle the barriers to the legal profession for students with criminal records by supporting students through the law school application process and navigating barriers including questions about past system involvement in the law school character & fitness application process.,Category:,,,,,,,,
"Law, Service - Outreach",Email:,,,,,,,,
"We are a campus club sponsored by The Westside Church. We are a non-denominational, multi-racial, family-oriented group of students devoted to being disciples of Christ and holding the Bible as our standard of living. Our mission is to be continually transformed while seeking to help transform others through Christ. Whether you are curious about God for the first time or have been a Christian for years, we hope you can find a home in our family. We believe this is a place where each person should have the opportunity to connect, change, and thrive!",Category:,,,,,,,,
"Religious - Christian, Service - Outreach",Email:,,,,,,,,
"The American Lung Cancer Screening Initiative (ALCSI) is a 501(c)(3) non-profit organization dedicated to increasing awareness and promoting lung cancer screening for high-risk individuals. At UCLA, college students collaborate with world-renowned thoracic surgeons, Congress, residents, community leaders, survivors, and caregivers to reshape the trajectory of those affected by lung cancer in Southern California. With California ranking among the lowest states for lung cancer screening, our mission is to connect high-risk community members to local screening centers, driving progress towards achieving the success seen in regions like Boston. Throughout the academic year, we will host tabling events, canvass in the greater Los Angeles area, present at community centers, and hold Q&A panels with clinicians in underserved neighborhoods. We will also build community through social events, ensuring connection while working together to propel change.",Category:,,,,,,,,
"Service - Outreach, Health and Wellness",Email:,,,Social Media:,,,,,
"Bridge at UCLA is a workshop and mentorship based program that aims to bridge educational gaps for underprivileged high school students. Through our research on current educational support efforts, we discovered a generational gap between established programs and the high school students they serve. Although these efforts are still impactful, the support is not as relevant to the current day academic and career atmosphere, and the connection between mentors and mentees is less meaningful. This inspired us to create a university based program that runs off current students that have relevant experience in these areas. Bridge at UCLA aims to increase graduation rates through a mentorship program between collegiate students (at UCLA) and low-income students between the 10-12 grade range in local public schools. Our intent strays from increasing application turnout; instead, focusing on building strong professional skills to demonstrate career paths stemming from a high school diploma. As undergraduates with firsthand experience within higher education and the job market, our initiative is unique and relevant to high schools. On campus, we will recruit students through club fairs and departmental advertisements. We will search for students who are motivated to help youth, and train them to lead workshops and become one-on-one mentors. The workshops will be focused on a 5 stage curriculum of skill building, as outlined in the presented Journey Map, including: resumes, interviewing, college advising, scholarship opportunities, and academic tutoring. However, a major aspect of this program will be its emphasis on existing opportunities that are available to students looking to join the workforce, utilizing skillful development from our program. The mentorship program fosters meaningful connections between volunteers and students to provide personalized support for creating a future pathway, with emphasis on empowerment and student-led connection during the program. Thus, rather than serving several students at once per mentor, we will cater the experience to be more individualized and direct. We will approach this initiative by partnering with schools in LAUSD, specifically those in low-income regions. This will personalize our approach to the schools because we will better understand what the students need, learning from both staff and students.",Category:,,,,,,,,
"Service - Community Involvement, Service - Outreach",Email:,,,,,,,,
"We are a nonprofit humanitarian aid organization with mission to service communities in need with compassion and relief. We participate in food distributions, medical outreach, beach clean up and more. We welcome new members to join to help serve the community and to make new connections.",Category:,,,,,,,,
"Service - Community Involvement, Service - Outreach",Email:,,,,,,,,
"Bruins Encouraging Active Minds (BEAM) at UCLA was created to provide K-12 students across the Los Angeles area with engaging, hands-on activities that promote interest in science, technology, engineering and math. If you have an interest in mentoring K-12 students, using your science and engineering skills to lead and develop hands-on activities, planning and leading youth outreach efforts, or just want to give teaching a try and have fun by improving your community, we strongly urge you to consider joining BEAM-UCLA. You do not have to be an engineer or science major: all majors are welcome. If your interest in science or engineering began with similar outreach programs, now is your chance to promote science in these young students’ lives.",Category:,,,,,,,,
"Service - Outreach, Service - Community Involvement",Email:,,,Social Media:,,,,,
"The CalKIDS Student Ambassador Program will promote the activities of the UCLA CalKIDS Institute. The statewide California Kids Investment and Developmental Savings (CalKIDS) program offers free seed deposits in college savings accounts for newborns and eligible students. The CalKIDS Institute at UCLA is a research center focused on advancing economic equity, higher education access, and the financial health of families. The goals of the Ambassador Program are to help UCLA students claim their CalKIDS college savings accounts and educate the community on financial literacy topics.",Category:,,,,,,,,
"Educational, Service - Outreach",Email:,,,,,,,,
"Cricket For All. Organization is dedicated to increasing accessibility to the sport of cricket in the greater LA community and beyond. Club has 3 primary goals. 1) To gather funding for underprivileged elementary, middle, and high schools to play cricket. Large emphasis on fundraising. 2) To introduce accessible versions of cricket to ensure everyone can participate—youth, people with disabilities, and more. This will be done through events at schools and broader outreach. Versions include one-tap, tape-ball, and much more (freedom for variance). 3) To provide resources (cricket kits and supplies) to those in need (especially relevant due to ongoing LA wildfires that destroyed fields integral to the cricket community).",Category:,,,,,,,,
"Service - Outreach, Sports",Email:,,,,,,,,
"The Community College Field Biology Alliance will provide community college students from underrepresented groups in science, technology, engineering, and math (STEM) the opportunity to experience scientific field work prior to transferring to a four-year university. Students will be mentored by graduate students from UCLA’s Department of Ecology and Evolutionary Biology through all stages of an independent scientific project; from development of methods, to data collection on the UC James San Jacinto Mountains Reserve one of the 39 field sites apart of the University of California Natural Reserve System, to the write up of a scientific poster. Further, it is our goal to foster meaningful relationships between the student interns and the graduate student mentors that will last beyond just completion of their project. This will be accomplished through weekly and monthly meetings and community oriented social events. Lastly, during the duration of the program students will also be exposed to workshops and information sessions aimed at assisting in the transferring process and building tangible knowledge of scientific methods that can be applied in their future undergraduate research and graduate studies. Our program structure is as follows: (1) Community College students interested in the natural sciences and conducting scientific research in the field will be invited to apply to this program. The program will run from April to August, culminating in a 10 day trip to the field to collect data and the completion of a poster in time for the UCLA Summer Poster Symposium. (2) Students will be paired with UCLA graduate students in the Ecology and Evolutionary Biology Department whose field research interests most closely align with their own. Students will meet virtually with their mentors weekly and in person monthly. Students and their mentors will develop an independent observational field project that could feasibly be completed with ten days of data collection during the summer. (3)By the beginning of July, students will have completed a literature review and a methods protocol for their proposed field project. In late July, students and graduate mentors will travel to the James San Jacinto Mountains Reserve. This reserve is located approximately 2 hours from UCLA in the San Bernardino National Forest and is a part of the University of California Natural Reserve System. Travel, food, and lodging will be included for all participants. (4) While in the field participants will be assisted by their graduate student mentors in collecting and analyzing data for their proposed project. Before returning home each student will have a completed scientific poster. (5) Aside from enacting their proposed research, students will attend skill-building workshops focused on cultivating tangible scientific and fieldwork skills that can be used throughout their careers. For example, interns will be introduced to ‘R’ Statistical software for data analysis and taught how to use species identification guides in the field.",Category:,,,,,,,,
"Service - Outreach, Academic",Email:,,,Community Outreach Program,,,,,
Community Outreach Program is dedicated to serving underserved communities in the LA area through compassion and care. Follow our Instagram to learn more!,Category:,,,,,,,,
"Service - Outreach, Community Service",Email:,,,,,,,,
"The objective of Dermatological is to bridge the health literacy gap pertaining to general skin diseases such as sun damage and broad dermatitis. Dermatological will promote increased awareness amongst members and the general LA population to be alert for signs and symptoms associated with common skin conditions, and simultaneously encourage mindfulness of mental health issues that may arise such as psychophysiological disorders.",Category:,,,,,,,,
"Medical, Service - Outreach",Email:,,,Social Media:,,,,,
"End Overdose at UCLA is a chapter of the Los Angeles-based 501(c)(3) nonprofit End Overdose. Our mission is to make education and resources (i.e. fentanyl test strips and Narcan/naloxone) preventing overdose-related death readily available to the UCLA community and beyond. Further, our organization aims to raise public awareness of the ways in which drug-related overdoses can be prevented.",Category:,,,,,,,,
"Service - Outreach, Health and Wellness",Email:,,,Social Media:,,,,,
"exploretech.la is a student organization that hosts an annual event aimed at encouraging & inspiring local high school students to pursue possibilities in computer science, engineering, and technology. Through a day filled with exciting workshops, engaging panels, and a variety of student and industry booths, we hope to empower students with the ability to explore the diverse fields of STEM. Any UCLA student is welcome to join exploretech.la! All majors are welcome, and no prior engineering experience is required.",Category:,,,,,,,,
"Technology, Service - Outreach",Email:,,,Social Media:,,,,,
"At the heart of all of the Friendship Circle’s programming is the belief that each and every individual can be a productive member of the community and benefit from the social support offered by one’s peers. Friendship, acceptance and a chance to participate in socially accepted bonding opportunities are critical to achieving this type of inclusive society. The Friendship Circle aims to provide children and teenagers with of all abilities and their families with many of the social and recreational opportunities that are currently available to the general community. These experiences are essential building blocks for an individual to acquire confidence and self-esteem and to ultimately lead a productive adult life. We envision a world in which people with of all abilities and their families experience acceptance, inclusion and friendship as contributing members of society",Category:,,,,,,,,
"Service - Outreach, Social",Email:,,,,,,,,
"A graduate organization focused on fostering a supportive community within the Chemistry and Biochemistry Department through social events, volunteering, and career development.",Category:,,,,,,,,
"Social, Service - Outreach",Email:,,,,,,,,
"The AB 540 Project (""Project"") is the community service, higher education/career access, and youth outreach component of IDEAS at UCLA, consists of three components: workshops, mentoring, and community college outreach —and is responsible for the planning of the annual Educators Conference and Immigrant Youth Empowerment Conference (IYEC). For over a 15 years, Project has been a central undocumented student-initiated, student-run mentorship, empowerment, and support program for generations of undocumented and immigrant youth.",Category:,,,,,,,,
"Educational, Service - Outreach",Email:,,,,,,,,
"Latinx Admit Weekend is a Diversity Admit Weekend Program (DAWP) coordinated event consisting of a variety of guest speakers, cultural performances, workshops, social and academic events in order to welcome recently admitted self-identifying Latinx students. Our mission is to educate and provide resources for newly accepted self-identified Latinx students about their cultural identity, the barriers Latinx and other people of color face, and what it means to be a student of color in higher education, not just for the students, but for the entire community.",Category:,,,,,,,,
"Latino/Latina, Service - Outreach",Email:,,,Social Media:,,,,,
"We are a student-run asylum clinic dedicated to providing forensic medical and mental health evaluations for individuals seeking asylum in the United States. Our mission also includes community education on the issues affecting the physical and mental health of local immigrant communities, advocacy in partnership with local organizations to advance immigrant rights, and research on the needs, experiences, and stories of new immigrants and asylum seekers.",Category:,,,,,,,,
"Medical, Service - Outreach",Email:,,,Matriculate,,,,,
